id;tipo_dia;penetracao_pct;potencia_pv_total_mw;potencias_pv_kw;razoes_bess_h;capacidades_bess_kwh;fator_carga_barras
112;ceu_aberto;90,73;3,3705;[66.48, 551.56, 193.43, 401.29, 1588.88, 568.8];[2.003, 1.624, 3.401, 2.874, 2.404, 1.652];[133.14, 895.55, 657.86, 1153.14, 3819.99, 939.92];[1.0142, 0.9949, 0.8762, 1.0251, 1.076, 1.0058, 0.9484, 0.9743, 1.0885, 1.0455, 1.032, 1.0178, 0.9669, 0.99, 0.9961, 1.0275, 1.0754, 1.0559, 0.929, 1.0112, 1.0368, 1.0309, 0.9685, 1.1457, 0.9361, 0.9458, 1.0117, 1.1058, 0.9582, 0.9867, 1.0539, 0.9991]
113;parcialmente_nublado;99,86;3,7096;[5.6, 44.73, 2771.94, 355.16, 100.09, 432.13];[2.278, 3.192, 2.873, 1.713, 2.51, 3.779];[12.77, 142.76, 7963.8, 608.33, 251.19, 1632.87];[0.9721, 1.0497, 1.0264, 0.9616, 1.0025, 0.9324, 1.0343, 0.9869, 0.9782, 0.9984, 1.002, 1.0447, 1.0296, 0.9922, 1.0382, 1.02, 0.9787, 0.9938, 0.9926, 1.0253, 0.9816, 0.9805, 1.0984, 1.047, 0.962, 1.0285, 1.0059, 1.0196, 1.0069, 1.0595, 1.0173, 0.9969]
114;nublado;72,28;2,6854;[692.0, 1094.07, 120.61, 70.36, 250.37, 457.97];[1.682, 1.012, 2.029, 3.907, 3.085, 2.204];[1163.65, 1107.54, 244.7, 274.85, 772.38, 1009.34];[0.9736, 0.9436, 0.9775, 0.8999, 0.9674, 0.9516, 1.0309, 0.9663, 1.0444, 1.0699, 1.0391, 0.9892, 1.0071, 0.9238, 0.9933, 0.957, 1.0347, 1.1286, 1.025, 0.9004, 0.9819, 1.0061, 1.0044, 0.9635, 1.0123, 0.9379, 0.9528, 1.0323, 0.9492, 1.0269, 0.9315, 1.0882]
115;ceu_aberto;88,43;3,2851;[771.83, 128.1, 144.45, 1791.98, 22.48, 426.22];[1.94, 2.995, 3.519, 2.081, 2.281, 3.946];[1497.69, 383.69, 508.31, 3729.35, 51.27, 1681.74];[1.0126, 1.009, 0.9242, 0.9825, 1.0808, 0.967, 0.9841, 0.9729, 0.9956, 0.9708, 1.0243, 1.0099, 1.0387, 0.9475, 0.983, 0.9887, 1.0228, 0.9603, 1.0458, 1.0593, 0.9506, 0.9755, 0.9734, 1.1316, 0.9785, 1.0839, 0.9367, 0.9505, 0.9657, 0.9577, 0.9866, 0.9646]
116;parcialmente_nublado;47,12;1,7506;[412.08, 288.46, 523.46, 25.24, 330.65, 170.7];[1.979, 3.883, 1.548, 1.934, 2.53, 3.589];[815.33, 1120.01, 810.36, 48.81, 836.44, 612.66];[1.077, 0.9737, 0.9783, 1.0408, 0.9189, 0.9393, 1.0549, 0.9414, 0.909, 1.0934, 0.9303, 1.0092, 1.0035, 0.8595, 0.9866, 1.0224, 1.0177, 1.0452, 0.9806, 1.0356, 0.9655, 0.9295, 0.9351, 0.9269, 1.0505, 0.9243, 1.0137, 0.9867, 0.9949, 1.0682, 0.9781, 1.0306]
117;parcialmente_nublado;79,82;2,9653;[946.61, 545.41, 99.93, 850.18, 190.18, 333.0];[3.494, 1.565, 3.354, 2.788, 3.68, 1.516];[3307.76, 853.66, 335.11, 2370.71, 699.87, 504.79];[1.0599, 0.9857, 1.065, 0.9643, 1.0465, 1.0905, 1.0607, 1.0053, 0.9834, 0.9236, 1.0155, 0.9442, 0.9603, 0.9405, 0.977, 0.9986, 1.0137, 0.97, 1.0535, 0.9896, 0.9606, 1.0113, 1.0982, 1.0168, 0.9819, 0.9236, 0.989, 1.0117, 0.9806, 0.9167, 0.9575, 1.0727]
118;parcialmente_nublado;80,72;2,9987;[93.5, 709.5, 64.76, 432.4, 901.66, 796.88];[2.214, 2.287, 1.68, 2.368, 3.86, 3.551];[207.01, 1622.72, 108.82, 1023.77, 3480.21, 2830.01];[1.0023, 1.0374, 1.0747, 1.0101, 0.9903, 0.9011, 1.0013, 1.0036, 1.0319, 0.9646, 0.9782, 0.9261, 0.8854, 0.9446, 0.9215, 1.0168, 0.9741, 0.9731, 0.9508, 0.8384, 1.0754, 0.95, 0.9794, 0.9273, 1.0486, 1.0072, 0.9587, 0.9804, 1.0839, 0.9964, 0.9909, 0.9529]
119;parcialmente_nublado;45,22;1,6799;[525.62, 351.27, 344.2, 133.17, 288.96, 36.66];[2.72, 3.952, 1.873, 3.383, 2.471, 1.119];[1429.52, 1388.06, 644.64, 450.54, 714.15, 41.04];[0.968, 1.0254, 0.9643, 1.0113, 0.995, 1.0107, 0.977, 0.983, 1.0048, 1.0101, 0.9998, 1.0853, 0.9505, 0.9968, 0.9213, 1.0186, 0.9442, 0.9861, 0.9814, 1.014, 0.9724, 0.9702, 1.0718, 1.0142, 0.9719, 0.9875, 1.0823, 0.9882, 0.9655, 0.9658, 0.9725, 0.9703]
120;ceu_aberto;80,97;3,0082;[512.79, 468.67, 821.15, 213.51, 586.77, 405.28];[3.684, 1.035, 3.898, 2.421, 3.395, 1.382];[1889.11, 485.02, 3200.62, 516.82, 1991.8, 559.94];[0.9245, 0.9656, 0.9661, 0.9813, 0.9537, 0.9733, 0.9243, 1.0274, 0.9959, 0.9147, 0.9583, 1.0168, 0.9728, 0.9652, 0.9963, 1.0172, 0.9282, 1.0275, 0.96, 0.9991, 0.9982, 0.9736, 0.9488, 0.9857, 1.0813, 0.9319, 1.0846, 0.987, 1.0018, 0.9457, 0.9614, 0.9749]
121;parcialmente_nublado;85,09;3,1611;[463.82, 876.29, 348.93, 227.7, 1226.59, 17.77];[3.568, 1.692, 3.546, 1.418, 2.741, 3.664];[1655.1, 1483.08, 1237.36, 322.78, 3361.68, 65.11];[1.0833, 0.9911, 1.0312, 1.0402, 0.9951, 1.0389, 0.9703, 0.9789, 0.9344, 1.0121, 1.0163, 1.059, 1.0396, 0.9858, 0.9411, 1.0216, 1.0555, 1.0378, 1.0542, 0.9894, 0.9767, 0.9632, 0.9972, 0.9961, 1.0103, 0.9935, 0.9933, 0.9612, 1.0471, 1.0038, 0.9913, 0.9626]
122;parcialmente_nublado;47,85;1,7775;[545.92, 8.04, 33.91, 53.51, 276.74, 859.42];[3.665, 1.734, 2.723, 3.305, 1.866, 2.227];[2000.56, 13.94, 92.35, 176.84, 516.53, 1913.96];[0.9442, 1.0037, 0.9672, 1.0097, 0.9724, 0.9471, 0.9411, 1.0781, 1.0444, 1.0865, 1.027, 0.9785, 1.0662, 0.9983, 1.011, 0.9979, 0.8527, 1.0802, 1.0246, 1.0165, 0.9969, 1.0082, 0.9701, 1.0308, 0.9346, 1.0093, 1.0281, 0.9901, 1.0185, 0.9504, 0.9517, 1.0118]
123;parcialmente_nublado;44,71;1,6609;[153.71, 25.35, 471.18, 340.47, 174.47, 495.7];[2.612, 2.408, 2.534, 2.909, 2.98, 1.867];[401.5, 61.04, 1193.95, 990.45, 519.93, 925.42];[0.9946, 0.9944, 1.0447, 1.0167, 0.9407, 0.9838, 1.0331, 1.0255, 1.0131, 1.0467, 0.9819, 1.0089, 0.8312, 0.9775, 1.0382, 0.9805, 0.9767, 0.9479, 1.0502, 1.0274, 1.0413, 0.9137, 0.992, 0.986, 0.986, 0.9692, 0.9827, 1.0425, 0.9044, 1.0889, 1.0242, 0.9979]
124;parcialmente_nublado;86,27;3,2048;[294.11, 810.65, 599.89, 107.76, 1363.61, 28.76];[3.695, 1.913, 2.5, 2.267, 1.516, 2.074];[1086.68, 1551.04, 1499.99, 244.31, 2066.56, 59.65];[0.9723, 0.9713, 0.9976, 0.9316, 1.0158, 1.0683, 1.014, 1.0404, 1.0547, 1.0618, 1.0935, 0.975, 0.9641, 1.0392, 1.0354, 1.0388, 1.0945, 1.0006, 1.0213, 0.951, 1.1068, 0.9832, 0.9846, 0.9827, 0.9678, 0.9635, 0.9738, 0.9317, 0.9607, 1.0974, 1.0368, 1.0463]
125;nublado;44,33;1,6467;[3.26, 680.6, 34.72, 378.09, 266.16, 283.87];[3.78, 1.095, 3.32, 1.156, 1.114, 2.289];[12.33, 745.15, 115.28, 437.14, 296.62, 649.9];[0.976, 1.0015, 1.0056, 0.9772, 0.9863, 1.0672, 1.0692, 1.0126, 0.9329, 1.0269, 1.0777, 1.0685, 1.0367, 1.0711, 1.0027, 1.0314, 0.966, 1.0146, 1.0665, 0.9705, 0.9569, 1.0049, 0.9887, 1.0325, 0.9773, 1.0859, 0.9355, 1.0627, 0.9618, 0.9102, 1.0119, 0.9873]
126;ceu_aberto;70,45;2,6172;[1370.4, 712.98, 55.0, 132.41, 252.45, 93.93];[2.485, 2.414, 3.869, 2.301, 3.357, 3.826];[3405.07, 1721.21, 212.78, 304.71, 847.45, 359.34];[0.9866, 1.0174, 0.891, 0.9972, 0.916, 0.9396, 0.9906, 1.0638, 1.0186, 1.0009, 0.999, 0.9643, 0.9728, 1.0214, 0.9307, 1.0297, 0.9806, 1.0413, 1.0481, 0.9163, 0.9709, 0.9572, 0.9094, 0.9484, 1.1221, 1.0305, 1.0959, 1.0415, 0.9629, 0.9809, 1.0294, 1.0219]
127;ceu_aberto;50,49;1,8758;[377.81, 170.57, 552.89, 106.86, 115.84, 551.8];[2.393, 2.548, 1.998, 1.83, 2.968, 1.36];[904.15, 434.66, 1104.83, 195.56, 343.79, 750.19];[1.0145, 1.0197, 1.0298, 0.9525, 0.9391, 1.0198, 0.9685, 0.9215, 1.0486, 1.0698, 1.0779, 1.0094, 1.0313, 1.0685, 0.9679, 1.0555, 1.0138, 1.0457, 1.0093, 1.0648, 1.0112, 0.9258, 1.0726, 0.9526, 1.0627, 0.9955, 1.0588, 1.0567, 1.0215, 1.0254, 1.0211, 0.8993]
128;parcialmente_nublado;27,65;1,0274;[67.0, 44.25, 378.14, 292.88, 132.68, 112.42];[3.792, 3.797, 3.908, 1.376, 1.482, 3.03];[254.07, 168.02, 1477.79, 403.04, 196.6, 340.66];[0.9816, 1.0016, 0.9825, 1.0452, 1.0109, 1.0454, 0.9843, 1.0663, 0.9917, 0.9514, 1.1089, 0.9088, 0.9631, 0.9686, 1.1254, 1.0903, 1.0747, 0.9835, 1.1213, 1.0184, 1.0489, 1.009, 0.9975, 0.9874, 0.9895, 1.0304, 1.0184, 0.9984, 1.0755, 0.8517, 1.0255, 1.0359]
129;parcialmente_nublado;48,73;1,8103;[51.44, 170.15, 314.4, 303.46, 89.06, 881.76];[2.782, 2.198, 3.507, 3.19, 3.248, 1.588];[143.09, 374.02, 1102.47, 967.92, 289.26, 1400.61];[1.0563, 0.9951, 1.1001, 1.0022, 1.057, 1.0147, 1.0293, 0.9164, 1.0186, 0.9633, 0.9577, 1.0872, 0.9893, 0.9498, 0.982, 0.935, 1.0717, 0.9652, 1.0265, 1.0678, 0.975, 1.0266, 0.9485, 1.1223, 1.0468, 0.9904, 0.9614, 0.9943, 0.983, 1.0976, 0.9387, 1.0067]
130;nublado;77,25;2,8699;[830.46, 682.39, 354.03, 185.71, 264.24, 553.05];[3.633, 1.311, 2.155, 3.328, 2.295, 1.997];[3016.74, 894.84, 762.78, 618.11, 606.43, 1104.27];[1.0865, 0.9254, 1.0, 1.0017, 0.9744, 0.9778, 1.0036, 0.9719, 0.9289, 1.0108, 1.0537, 1.0435, 0.9595, 0.9374, 0.9858, 1.0784, 1.0323, 1.0352, 1.0445, 1.021, 1.006, 1.0331, 0.9727, 0.9293, 1.0361, 1.0619, 0.9441, 1.0411, 1.084, 0.9999, 0.9591, 1.0062]
131;ceu_aberto;75,35;2,7994;[11.77, 384.24, 60.59, 1160.06, 1080.59, 102.1];[2.843, 1.084, 3.795, 2.569, 1.13, 2.027];[33.48, 416.52, 229.97, 2980.15, 1220.71, 207.01];[0.991, 0.9643, 0.982, 1.1016, 0.9544, 0.9861, 0.9806, 0.9876, 0.9834, 1.014, 0.9145, 1.0519, 1.0316, 0.9379, 0.8865, 0.9511, 0.9879, 1.129, 1.0272, 0.9096, 0.9655, 0.9973, 1.0127, 0.9343, 0.9933, 0.9641, 0.9448, 1.013, 1.0387, 1.0421, 1.0287, 0.9751]
132;nublado;26,33;0,9782;[33.46, 51.69, 398.32, 192.76, 2.84, 299.16];[2.271, 2.533, 1.642, 2.655, 3.937, 1.22];[75.99, 130.91, 654.18, 511.83, 11.18, 365.07];[0.9517, 0.9594, 0.9668, 0.9312, 1.0102, 0.9295, 1.0178, 1.1118, 0.9335, 0.9858, 0.8738, 0.985, 1.0321, 1.036, 1.0039, 1.0445, 1.1273, 1.0856, 0.9739, 0.9274, 0.9797, 0.9527, 1.0226, 0.9409, 0.9964, 1.0419, 0.995, 0.9527, 1.0587, 0.9061, 0.9836, 0.9979]
133;parcialmente_nublado;37,48;1,3925;[184.0, 93.26, 854.49, 122.09, 48.56, 90.12];[2.962, 1.228, 2.811, 3.794, 3.551, 1.203];[544.93, 114.55, 2401.8, 463.18, 172.43, 108.42];[1.0173, 0.9831, 1.0248, 1.0741, 1.0352, 1.0405, 1.0147, 0.9248, 0.9478, 1.0227, 0.9995, 1.022, 1.0838, 1.0363, 1.0629, 1.0047, 0.9596, 0.9971, 0.9598, 1.0779, 1.0395, 1.026, 1.0618, 0.899, 1.0294, 0.9345, 0.9996, 0.9844, 1.0331, 1.0114, 1.0673, 0.9699]
134;ceu_aberto;48,45;1,8001;[106.13, 316.57, 66.38, 337.34, 746.33, 227.35];[2.834, 1.207, 3.593, 1.856, 2.845, 3.937];[300.79, 382.04, 238.54, 626.22, 2123.43, 895.16];[1.0779, 1.0331, 0.9655, 0.9957, 0.9962, 1.004, 1.1262, 1.0185, 0.8982, 0.9729, 0.9034, 0.9835, 0.9006, 0.9564, 0.924, 1.0192, 1.0, 1.0151, 0.9948, 0.9303, 1.0257, 1.0961, 1.0205, 0.9787, 0.9286, 0.9546, 1.0227, 1.0537, 1.013, 1.04, 1.0354, 1.0253]
135;ceu_aberto;27,46;1,0201;[54.74, 416.27, 59.88, 189.91, 136.97, 162.35];[2.247, 1.9, 1.146, 3.233, 3.238, 3.012];[123.02, 790.91, 68.59, 613.96, 443.55, 489.03];[0.9364, 1.0357, 0.9026, 0.9955, 1.0556, 0.9724, 0.9247, 1.0073, 0.9698, 1.0315, 0.9557, 0.9614, 0.8989, 1.0085, 0.992, 0.9406, 1.0097, 1.0514, 0.9892, 1.0134, 1.0137, 0.9398, 1.1028, 0.9765, 1.0328, 1.0385, 0.993, 1.0303, 1.0123, 0.9291, 0.9834, 0.9694]
136;nublado;95,14;3,5343;[1448.03, 1501.79, 189.79, 135.18, 23.05, 236.46];[3.323, 1.72, 3.187, 1.756, 2.186, 3.949];[4811.17, 2583.24, 604.93, 237.33, 50.39, 933.91];[0.9672, 0.9322, 0.9676, 0.9835, 0.8815, 0.9901, 1.0462, 1.0284, 0.9752, 1.0023, 0.9722, 1.0074, 1.077, 1.0484, 1.026, 0.9754, 1.0375, 0.9157, 0.9874, 1.0292, 1.037, 1.0335, 1.0147, 0.9902, 1.0269, 0.9524, 0.9578, 1.0031, 1.0087, 0.9087, 1.0228, 1.0386]
137;parcialmente_nublado;25,12;0,9332;[40.3, 54.98, 275.1, 263.25, 220.22, 79.36];[2.113, 1.29, 1.679, 3.693, 3.939, 2.943];[85.17, 70.92, 462.0, 972.22, 867.47, 233.54];[1.0115, 1.0336, 1.0147, 0.9677, 0.9685, 0.928, 0.9573, 1.0981, 0.9604, 0.9403, 1.016, 0.9945, 0.9902, 1.0705, 1.0275, 0.9735, 0.9788, 0.9749, 1.0437, 0.9846, 0.9103, 0.9976, 0.9231, 1.1092, 0.9517, 0.9919, 1.0129, 0.9856, 0.9855, 1.0211, 1.0763, 1.0384]
138;ceu_aberto;62,79;2,3327;[407.62, 1578.83, 121.81, 6.44, 50.47, 167.56];[1.1, 2.509, 1.942, 1.541, 3.25, 1.613];[448.33, 3960.55, 236.59, 9.92, 164.04, 270.33];[0.9464, 1.0667, 1.0376, 1.001, 1.0, 0.9721, 1.0135, 1.0544, 0.9648, 0.9233, 1.0352, 1.0162, 0.944, 0.9633, 0.957, 0.9638, 0.9838, 0.9867, 0.9675, 0.9621, 0.9886, 1.0084, 0.9842, 1.0579, 1.0254, 0.9205, 1.0262, 1.0303, 0.9783, 0.9252, 1.0004, 0.9996]
139;parcialmente_nublado;46,51;1,7279;[860.26, 84.71, 299.79, 166.96, 206.22, 109.95];[3.894, 2.715, 3.813, 1.023, 2.718, 3.152];[3350.26, 229.99, 1143.22, 170.76, 560.52, 346.53];[1.02, 1.0121, 0.9758, 0.9986, 0.9642, 0.9978, 0.8832, 1.0215, 0.9939, 0.9832, 1.011, 0.9283, 1.0965, 0.9949, 0.9927, 0.9517, 1.0012, 1.0693, 1.0518, 1.0427, 1.0273, 0.9821, 0.9275, 0.9899, 0.9882, 1.0524, 1.0155, 1.0806, 1.0599, 0.9772, 0.9102, 1.0693]
140;parcialmente_nublado;83,89;3,1167;[19.23, 69.8, 205.2, 105.65, 166.74, 2550.04];[3.476, 3.652, 3.811, 2.023, 1.891, 1.702];[66.86, 254.9, 782.04, 213.71, 315.35, 4340.65];[1.0255, 1.0469, 0.9689, 0.9333, 1.1642, 1.0392, 0.9866, 1.0435, 0.9938, 1.0434, 1.008, 1.0046, 0.9943, 0.9276, 1.0969, 0.9529, 0.932, 0.9894, 0.9519, 0.9974, 1.0344, 1.0498, 1.0407, 0.9847, 1.0025, 1.0204, 0.9121, 1.0285, 0.9271, 1.102, 0.9798, 0.9908]
141;parcialmente_nublado;61,36;2,2797;[14.7, 912.93, 48.75, 732.73, 27.41, 543.15];[1.456, 1.114, 3.158, 1.841, 3.143, 2.665];[21.4, 1017.36, 153.98, 1348.81, 86.17, 1447.62];[1.0841, 0.9829, 1.1252, 1.0012, 0.9519, 0.9683, 0.8872, 1.0804, 1.0797, 0.9492, 0.9886, 1.0048, 0.952, 0.9122, 0.9895, 0.9839, 0.9806, 1.0111, 1.0715, 0.9848, 1.0085, 1.0363, 1.0277, 0.9693, 1.0048, 1.0274, 0.9436, 1.0632, 1.0716, 0.9639, 1.0097, 1.0321]
142;ceu_aberto;97,62;3,6267;[445.89, 454.39, 826.22, 510.33, 1.51, 1388.38];[3.255, 3.241, 2.035, 2.567, 2.08, 1.048];[1451.45, 1472.63, 1681.41, 1309.96, 3.13, 1455.17];[0.9487, 1.0085, 1.0068, 0.9889, 1.0184, 1.0006, 1.006, 0.968, 1.0491, 0.9785, 0.9335, 0.9615, 0.9826, 1.0497, 0.9979, 0.9907, 0.9376, 1.0393, 0.9674, 0.995, 1.074, 1.0254, 0.9186, 0.9115, 0.9968, 0.9394, 1.0324, 1.0021, 1.0083, 0.9647, 1.0871, 1.1421]
143;parcialmente_nublado;51,42;1,9104;[191.09, 111.9, 64.9, 448.74, 37.21, 1056.58];[3.48, 3.573, 3.72, 2.226, 3.54, 1.474];[665.0, 399.75, 241.43, 998.81, 131.74, 1557.6];[1.0573, 1.0395, 1.0393, 0.9425, 1.0262, 0.9561, 0.9359, 0.9964, 0.9548, 1.0395, 1.0407, 0.9049, 0.9586, 0.927, 0.9769, 1.0228, 0.9879, 0.9705, 1.065, 0.8848, 1.0618, 0.9728, 0.9961, 0.9736, 1.0771, 0.9385, 1.0006, 1.0264, 0.9194, 0.954, 0.9926, 0.9557]
144;ceu_aberto;27,31;1,0147;[23.6, 65.47, 22.92, 449.48, 397.68, 55.53];[2.919, 2.601, 3.447, 2.882, 1.001, 3.29];[68.9, 170.31, 78.99, 1295.56, 397.99, 182.68];[1.0033, 1.0839, 1.1199, 1.0266, 0.9504, 0.9726, 1.0141, 1.0228, 1.0349, 1.023, 1.0003, 0.9682, 1.0201, 1.0927, 1.051, 1.0267, 1.0515, 0.9814, 0.9746, 0.9626, 0.9937, 0.9789, 1.0604, 0.9762, 0.9599, 1.0971, 0.9774, 1.0077, 1.0226, 0.9432, 1.0618, 1.0319]
145;ceu_aberto;92,07;3,4203;[380.02, 128.52, 265.49, 111.62, 2120.27, 414.37];[2.843, 2.27, 2.854, 2.025, 1.087, 2.185];[1080.45, 291.72, 757.83, 226.0, 2303.87, 905.51];[1.0093, 1.0316, 0.9548, 0.9592, 1.0325, 0.9146, 0.9708, 1.152, 0.9516, 1.0574, 0.9707, 1.0255, 1.0327, 1.0564, 0.99, 1.0994, 0.9705, 1.0117, 1.0123, 0.9439, 0.9857, 1.0081, 0.9784, 1.122, 0.9581, 1.059, 1.0428, 0.9993, 0.9567, 0.9616, 0.9741, 0.9107]
146;ceu_aberto;45,15;1,6774;[242.64, 282.07, 37.7, 340.49, 336.45, 438.08];[2.088, 2.839, 3.635, 3.866, 2.751, 1.128];[506.75, 800.88, 137.03, 1316.48, 925.51, 494.05];[0.9546, 0.9789, 0.9891, 0.9883, 1.0928, 1.0189, 1.024, 1.027, 1.0306, 0.9959, 0.984, 1.0083, 1.0578, 1.0563, 0.988, 1.0384, 0.9903, 1.0017, 0.9763, 0.9909, 1.0671, 1.0046, 1.0068, 0.9276, 0.9845, 0.9879, 0.9585, 1.0011, 0.9785, 1.004, 1.0061, 0.9522]
147;ceu_aberto;61,83;2,2968;[3.86, 884.41, 607.69, 541.02, 35.56, 224.3];[3.806, 3.588, 1.857, 1.471, 2.347, 2.067];[14.68, 3173.05, 1128.26, 795.94, 83.47, 463.75];[0.972, 0.9912, 1.0066, 1.0181, 0.9993, 0.9709, 0.9018, 0.9712, 0.9514, 1.0233, 1.0455, 1.0469, 1.0378, 0.9933, 0.9739, 0.9626, 0.9246, 1.0496, 0.9913, 0.9377, 0.9587, 0.9567, 1.0022, 1.0534, 0.9826, 0.8874, 0.9905, 0.9922, 0.9888, 0.9686, 1.0109, 1.0033]
148;parcialmente_nublado;77,21;2,8685;[829.97, 502.31, 296.08, 38.79, 108.56, 1092.77];[1.958, 1.28, 3.123, 3.202, 1.856, 1.893];[1625.3, 642.83, 924.54, 124.21, 201.52, 2068.64];[0.9794, 0.9987, 0.9671, 1.052, 1.0174, 1.0203, 0.9367, 1.0584, 0.859, 1.0417, 1.0467, 0.9784, 1.0636, 0.9968, 1.0031, 1.017, 1.1593, 1.0672, 1.0351, 0.9544, 1.0072, 0.9593, 1.0411, 1.007, 0.9438, 1.0041, 0.9575, 1.0076, 0.957, 1.0014, 1.0375, 0.9973]
149;parcialmente_nublado;51,87;1,9269;[66.19, 260.85, 595.9, 244.89, 189.89, 569.19];[1.509, 3.401, 2.453, 2.722, 1.442, 1.974];[99.91, 887.22, 1461.8, 666.48, 273.85, 1123.42];[1.0639, 0.9814, 0.9638, 1.0353, 0.931, 1.0313, 1.0891, 1.0283, 1.0319, 1.0435, 1.0855, 1.0605, 1.022, 1.0452, 0.9557, 1.0388, 0.9497, 0.9816, 0.8459, 1.0201, 0.9678, 1.0556, 1.0195, 1.0562, 0.9458, 1.0519, 1.1053, 1.0382, 1.0395, 1.0085, 0.9738, 1.0381]
150;ceu_aberto;83,85;3,115;[430.23, 55.1, 504.56, 545.92, 752.79, 826.43];[3.312, 2.99, 1.647, 2.213, 3.328, 3.86];[1425.06, 164.76, 831.23, 1207.97, 2505.57, 3190.23];[1.0035, 0.9591, 0.9472, 0.964, 1.1243, 1.0068, 1.0181, 0.9389, 0.9078, 0.959, 1.0719, 1.0167, 1.0299, 1.0369, 0.9704, 1.0694, 0.9684, 1.0703, 1.0221, 0.9105, 0.9626, 0.9108, 1.0582, 0.9988, 0.8886, 1.0188, 0.9731, 0.9258, 1.0839, 1.0054, 0.9853, 0.98]
151;ceu_aberto;21,12;0,7846;[171.43, 153.76, 204.43, 38.58, 76.42, 139.96];[2.319, 3.092, 2.902, 1.344, 3.343, 3.162];[397.6, 475.43, 593.25, 51.85, 255.48, 442.57];[0.9519, 1.0217, 0.9657, 0.9256, 0.9536, 0.9625, 1.0261, 1.0576, 0.9263, 1.0176, 0.9412, 1.0315, 0.9689, 0.9474, 1.04, 0.9707, 0.9842, 0.889, 1.0473, 1.041, 1.0003, 0.9236, 1.0605, 0.9667, 0.9773, 1.1156, 0.9648, 1.0371, 1.0281, 1.0195, 1.0141, 1.0188]
152;ceu_aberto;38,4;1,4265;[433.87, 31.46, 281.7, 423.8, 246.98, 8.7];[3.957, 2.101, 3.336, 1.977, 2.425, 2.165];[1716.65, 66.12, 939.69, 837.83, 598.94, 18.85];[1.0409, 0.9853, 0.959, 1.022, 1.0453, 1.0105, 0.9599, 1.0228, 0.9799, 1.0373, 1.0742, 0.8697, 1.0056, 0.9132, 1.1221, 0.9766, 1.0373, 0.9982, 0.9598, 0.9539, 1.0793, 1.0478, 1.0972, 1.0028, 1.0144, 0.9866, 0.9856, 0.9479, 1.0042, 0.9605, 1.0221, 1.0085]
153;ceu_aberto;82,47;3,0639;[774.17, 1358.95, 257.26, 34.07, 181.61, 457.83];[1.083, 1.171, 1.201, 3.193, 2.503, 2.107];[838.57, 1590.87, 309.09, 108.77, 454.66, 964.5];[1.0151, 0.9744, 0.9423, 0.956, 1.0382, 1.0986, 1.0691, 0.9328, 1.0427, 0.9668, 0.9709, 0.9769, 1.0353, 1.048, 0.9951, 0.9959, 1.0232, 1.0284, 1.0588, 0.9358, 1.001, 0.9466, 0.9975, 0.9887, 0.9977, 0.96, 0.9256, 0.8953, 0.9934, 0.9784, 0.9662, 1.0661]
154;nublado;26,83;0,9968;[202.18, 67.66, 145.2, 304.71, 251.07, 25.99];[2.774, 3.907, 1.47, 3.559, 3.108, 3.322];[560.77, 264.35, 213.48, 1084.37, 780.24, 86.33];[0.9508, 0.9495, 0.9873, 1.0368, 1.0074, 0.9678, 1.0131, 0.9835, 1.044, 1.0167, 0.9842, 1.0116, 1.0658, 0.9715, 1.0201, 0.9965, 1.0213, 0.9673, 1.0055, 1.0554, 0.9531, 0.9335, 0.9354, 0.9415, 1.0298, 0.9297, 0.9851, 1.0309, 1.0208, 0.9807, 1.0095, 1.0054]
155;parcialmente_nublado;21,41;0,7954;[92.11, 114.7, 40.59, 341.67, 95.0, 111.29];[3.695, 2.401, 2.176, 3.172, 3.729, 1.075];[340.31, 275.44, 88.35, 1083.64, 354.23, 119.65];[1.1075, 0.9498, 1.0542, 0.9639, 0.9565, 0.9628, 0.9974, 1.029, 1.0335, 0.9528, 0.9505, 0.9542, 0.9944, 0.9895, 0.9525, 1.0135, 1.1131, 0.9748, 0.9783, 1.028, 0.9721, 1.0334, 0.9641, 1.0916, 1.0172, 0.969, 0.9706, 0.9743, 1.0686, 0.9366, 0.9666, 0.9719]
156;parcialmente_nublado;74,38;2,7631;[78.14, 1450.07, 512.62, 342.93, 41.39, 337.95];[3.71, 1.063, 2.424, 3.793, 2.185, 2.285];[289.87, 1541.35, 1242.57, 1300.88, 90.41, 772.05];[0.9436, 1.1197, 1.0361, 1.0094, 0.9909, 0.9876, 1.0584, 0.9755, 1.0288, 0.9826, 1.097, 1.0371, 1.0623, 0.9708, 1.0529, 0.9844, 1.0055, 1.0818, 0.9479, 1.0102, 1.0219, 1.026, 0.9775, 1.1043, 0.9353, 1.0729, 1.0608, 1.095, 0.9206, 0.9566, 1.0746, 0.9061]
157;parcialmente_nublado;41,78;1,552;[65.48, 417.55, 135.12, 30.84, 170.43, 732.62];[3.47, 3.237, 1.624, 3.628, 2.577, 3.668];[227.23, 1351.71, 219.45, 111.9, 439.26, 2687.15];[0.9768, 0.991, 0.9127, 0.9909, 1.0344, 1.017, 1.076, 0.9869, 1.0244, 1.0396, 1.1171, 1.0072, 0.9478, 1.0424, 1.0933, 0.9839, 1.0421, 1.0614, 1.0509, 1.0063, 0.9651, 0.9959, 1.0229, 1.0454, 1.0167, 0.981, 1.0278, 1.043, 1.019, 0.9582, 0.9909, 1.0474]
