Hora,Elemento,De,Para,Fases,I_F1 (A),P_total (kW),Q_total (kVAR),S_total (kVA)
15,l22,844,846,3,9.97,105.88,-417.73,430.94
15,l23,846,848,3,9.9,71.55,-432.16,438.05
15,l24,850,816,3,48.12,1842.46,223.62,1855.98
15,l25,852R,832,3,31.56,1475.44,103.06,1479.04
15,l26,854,856,1,0.24,2.0,-2.8,3.44
15,l27,854,852,3,34.0,1520.38,101.35,1523.76
15,l28,858,864,1,0.07,1.0,0.21,1.02
15,l29,858,834,3,20.63,989.89,-159.65,1002.69
15,l30,860,836,3,2.8,138.59,74.33,157.26
15,l31,862,838,1,1.03,14.0,6.11,15.28
15,l32,888,890,3,69.97,450.02,232.78,506.66
16,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
16,l1,800,802,3,51.8,2047.06,283.26,2066.56
16,l2,802,806,3,51.82,2016.07,268.2,2033.83
16,l3,806,808,3,51.83,1986.29,253.37,2002.39
16,l4,808,810,1,0.6,8.24,3.22,8.85
16,l5,808,812,3,52.0,1928.33,239.81,1943.18
16,l6,812,814,3,52.19,1880.65,231.77,1894.88
16,l7,814R,850,3,48.12,1842.48,223.62,1856.0
16,l8,816,818,1,12.91,173.93,78.78,190.94
16,l9,816,824,3,35.61,1665.45,143.78,1671.64
16,l10,818,820,1,11.56,155.83,70.02,170.84
16,l11,820,822,1,5.21,67.7,32.82,75.24
16,l12,824,826,1,1.54,20.21,9.59,22.37
16,l13,824,828,3,35.65,1606.34,122.3,1610.99
16,l14,828,830,3,35.4,1599.74,119.85,1604.23
16,l15,830,854,3,34.0,1525.02,99.51,1528.26
16,l16,832,858,3,21.06,1013.07,-151.64,1024.35
16,l17,834,860,3,8.46,318.2,181.63,366.39
16,l18,834,842,3,14.91,574.33,-386.09,692.04
16,l19,836,840,3,1.12,48.79,31.53,58.09
16,l20,836,862,3,0.01,28.0,12.9,30.83
16,l21,842,844,3,14.78,569.76,-388.42,689.56
16,l22,844,846,3,9.97,105.88,-417.73,430.94
16,l23,846,848,3,9.9,71.55,-432.16,438.05
16,l24,850,816,3,48.12,1842.46,223.62,1855.98
16,l25,852R,832,3,31.56,1475.44,103.06,1479.04
16,l26,854,856,1,0.24,2.0,-2.8,3.44
16,l27,854,852,3,34.0,1520.38,101.35,1523.76
16,l28,858,864,1,0.07,1.0,0.21,1.02
16,l29,858,834,3,20.63,989.89,-159.65,1002.69
16,l30,860,836,3,2.8,138.59,74.33,157.26
16,l31,862,838,1,1.03,14.0,6.11,15.28
16,l32,888,890,3,69.97,450.02,232.78,506.66
17,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
17,l1,800,802,3,51.8,2047.06,283.26,2066.56
17,l2,802,806,3,51.82,2016.07,268.2,2033.83
17,l3,806,808,3,51.83,1986.29,253.37,2002.39
17,l4,808,810,1,0.6,8.24,3.22,8.85
17,l5,808,812,3,52.0,1928.33,239.81,1943.18
17,l6,812,814,3,52.19,1880.65,231.77,1894.88
17,l7,814R,850,3,48.12,1842.48,223.62,1856.0
17,l8,816,818,1,12.91,173.93,78.78,190.94
17,l9,816,824,3,35.61,1665.45,143.78,1671.64
17,l10,818,820,1,11.56,155.83,70.02,170.84
17,l11,820,822,1,5.21,67.7,32.82,75.24
17,l12,824,826,1,1.54,20.21,9.59,22.37
17,l13,824,828,3,35.65,1606.34,122.3,1610.99
17,l14,828,830,3,35.4,1599.74,119.85,1604.23
17,l15,830,854,3,34.0,1525.02,99.51,1528.26
17,l16,832,858,3,21.06,1013.07,-151.64,1024.35
17,l17,834,860,3,8.46,318.2,181.63,366.39
17,l18,834,842,3,14.91,574.33,-386.09,692.04
17,l19,836,840,3,1.12,48.79,31.53,58.09
17,l20,836,862,3,0.01,28.0,12.9,30.83
17,l21,842,844,3,14.78,569.76,-388.42,689.56
17,l22,844,846,3,9.97,105.88,-417.73,430.94
17,l23,846,848,3,9.9,71.55,-432.16,438.05
17,l24,850,816,3,48.12,1842.46,223.62,1855.98
17,l25,852R,832,3,31.56,1475.44,103.06,1479.04
17,l26,854,856,1,0.24,2.0,-2.8,3.44
17,l27,854,852,3,34.0,1520.38,101.35,1523.76
17,l28,858,864,1,0.07,1.0,0.21,1.02
17,l29,858,834,3,20.63,989.89,-159.65,1002.69
17,l30,860,836,3,2.8,138.59,74.33,157.26
17,l31,862,838,1,1.03,14.0,6.11,15.28
17,l32,888,890,3,69.97,450.02,232.78,506.66
18,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
18,l1,800,802,3,51.8,2047.06,283.26,2066.56
18,l2,802,806,3,51.82,2016.07,268.2,2033.83
18,l3,806,808,3,51.83,1986.29,253.37,2002.39
18,l4,808,810,1,0.6,8.24,3.22,8.85
18,l5,808,812,3,52.0,1928.33,239.81,1943.18
18,l6,812,814,3,52.19,1880.65,231.77,1894.88
18,l7,814R,850,3,48.12,1842.48,223.62,1856.0
18,l8,816,818,1,12.91,173.93,78.78,190.94
18,l9,816,824,3,35.61,1665.45,143.78,1671.64
18,l10,818,820,1,11.56,155.83,70.02,170.84
18,l11,820,822,1,5.21,67.7,32.82,75.24
18,l12,824,826,1,1.54,20.21,9.59,22.37
18,l13,824,828,3,35.65,1606.34,122.3,1610.99
18,l14,828,830,3,35.4,1599.74,119.85,1604.23
18,l15,830,854,3,34.0,1525.02,99.51,1528.26
18,l16,832,858,3,21.06,1013.07,-151.64,1024.35
18,l17,834,860,3,8.46,318.2,181.63,366.39
18,l18,834,842,3,14.91,574.33,-386.09,692.04
18,l19,836,840,3,1.12,48.79,31.53,58.09
18,l20,836,862,3,0.01,28.0,12.9,30.83
18,l21,842,844,3,14.78,569.76,-388.42,689.56
18,l22,844,846,3,9.97,105.88,-417.73,430.94
18,l23,846,848,3,9.9,71.55,-432.16,438.05
18,l24,850,816,3,48.12,1842.46,223.62,1855.98
18,l25,852R,832,3,31.56,1475.44,103.06,1479.04
18,l26,854,856,1,0.24,2.0,-2.8,3.44
18,l27,854,852,3,34.0,1520.38,101.35,1523.76
18,l28,858,864,1,0.07,1.0,0.21,1.02
18,l29,858,834,3,20.63,989.89,-159.65,1002.69
18,l30,860,836,3,2.8,138.59,74.33,157.26
18,l31,862,838,1,1.03,14.0,6.11,15.28
18,l32,888,890,3,69.97,450.02,232.78,506.66
19,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
19,l1,800,802,3,51.8,2047.06,283.26,2066.56
19,l2,802,806,3,51.82,2016.07,268.2,2033.83
19,l3,806,808,3,51.83,1986.29,253.37,2002.39
19,l4,808,810,1,0.6,8.24,3.22,8.85
19,l5,808,812,3,52.0,1928.33,239.81,1943.18
19,l6,812,814,3,52.19,1880.65,231.77,1894.88
19,l7,814R,850,3,48.12,1842.48,223.62,1856.0
19,l8,816,818,1,12.91,173.93,78.78,190.94
19,l9,816,824,3,35.61,1665.45,143.78,1671.64
19,l10,818,820,1,11.56,155.83,70.02,170.84
19,l11,820,822,1,5.21,67.7,32.82,75.24
19,l12,824,826,1,1.54,20.21,9.59,22.37
19,l13,824,828,3,35.65,1606.34,122.3,1610.99
19,l14,828,830,3,35.4,1599.74,119.85,1604.23
19,l15,830,854,3,34.0,1525.02,99.51,1528.26
19,l16,832,858,3,21.06,1013.07,-151.64,1024.35
19,l17,834,860,3,8.46,318.2,181.63,366.39
19,l18,834,842,3,14.91,574.33,-386.09,692.04
19,l19,836,840,3,1.12,48.79,31.53,58.09
19,l20,836,862,3,0.01,28.0,12.9,30.83
19,l21,842,844,3,14.78,569.76,-388.42,689.56
19,l22,844,846,3,9.97,105.88,-417.73,430.94
19,l23,846,848,3,9.9,71.55,-432.16,438.05
19,l24,850,816,3,48.12,1842.46,223.62,1855.98
19,l25,852R,832,3,31.56,1475.44,103.06,1479.04
19,l26,854,856,1,0.24,2.0,-2.8,3.44
19,l27,854,852,3,34.0,1520.38,101.35,1523.76
19,l28,858,864,1,0.07,1.0,0.21,1.02
19,l29,858,834,3,20.63,989.89,-159.65,1002.69
19,l30,860,836,3,2.8,138.59,74.33,157.26
19,l31,862,838,1,1.03,14.0,6.11,15.28
19,l32,888,890,3,69.97,450.02,232.78,506.66
20,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
20,l1,800,802,3,51.8,2047.06,283.26,2066.56
20,l2,802,806,3,51.82,2016.07,268.2,2033.83
20,l3,806,808,3,51.83,1986.29,253.37,2002.39
20,l4,808,810,1,0.6,8.24,3.22,8.85
20,l5,808,812,3,52.0,1928.33,239.81,1943.18
20,l6,812,814,3,52.19,1880.65,231.77,1894.88
20,l7,814R,850,3,48.12,1842.48,223.62,1856.0
20,l8,816,818,1,12.91,173.93,78.78,190.94
20,l9,816,824,3,35.61,1665.45,143.78,1671.64
20,l10,818,820,1,11.56,155.83,70.02,170.84
20,l11,820,822,1,5.21,67.7,32.82,75.24
20,l12,824,826,1,1.54,20.21,9.59,22.37
20,l13,824,828,3,35.65,1606.34,122.3,1610.99
20,l14,828,830,3,35.4,1599.74,119.85,1604.23
20,l15,830,854,3,34.0,1525.02,99.51,1528.26
20,l16,832,858,3,21.06,1013.07,-151.64,1024.35
20,l17,834,860,3,8.46,318.2,181.63,366.39
20,l18,834,842,3,14.91,574.33,-386.09,692.04
20,l19,836,840,3,1.12,48.79,31.53,58.09
20,l20,836,862,3,0.01,28.0,12.9,30.83
20,l21,842,844,3,14.78,569.76,-388.42,689.56
20,l22,844,846,3,9.97,105.88,-417.73,430.94
20,l23,846,848,3,9.9,71.55,-432.16,438.05
20,l24,850,816,3,48.12,1842.46,223.62,1855.98
20,l25,852R,832,3,31.56,1475.44,103.06,1479.04
20,l26,854,856,1,0.24,2.0,-2.8,3.44
20,l27,854,852,3,34.0,1520.38,101.35,1523.76
20,l28,858,864,1,0.07,1.0,0.21,1.02
20,l29,858,834,3,20.63,989.89,-159.65,1002.69
20,l30,860,836,3,2.8,138.59,74.33,157.26
20,l31,862,838,1,1.03,14.0,6.11,15.28
20,l32,888,890,3,69.97,450.02,232.78,506.66
21,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
21,l1,800,802,3,51.8,2047.06,283.26,2066.56
21,l2,802,806,3,51.82,2016.07,268.2,2033.83
21,l3,806,808,3,51.83,1986.29,253.37,2002.39
21,l4,808,810,1,0.6,8.24,3.22,8.85
21,l5,808,812,3,52.0,1928.33,239.81,1943.18
21,l6,812,814,3,52.19,1880.65,231.77,1894.88
21,l7,814R,850,3,48.12,1842.48,223.62,1856.0
21,l8,816,818,1,12.91,173.93,78.78,190.94
21,l9,816,824,3,35.61,1665.45,143.78,1671.64
21,l10,818,820,1,11.56,155.83,70.02,170.84
21,l11,820,822,1,5.21,67.7,32.82,75.24
21,l12,824,826,1,1.54,20.21,9.59,22.37
21,l13,824,828,3,35.65,1606.34,122.3,1610.99
21,l14,828,830,3,35.4,1599.74,119.85,1604.23
21,l15,830,854,3,34.0,1525.02,99.51,1528.26
21,l16,832,858,3,21.06,1013.07,-151.64,1024.35
21,l17,834,860,3,8.46,318.2,181.63,366.39
21,l18,834,842,3,14.91,574.33,-386.09,692.04
21,l19,836,840,3,1.12,48.79,31.53,58.09
21,l20,836,862,3,0.01,28.0,12.9,30.83
21,l21,842,844,3,14.78,569.76,-388.42,689.56
21,l22,844,846,3,9.97,105.88,-417.73,430.94
21,l23,846,848,3,9.9,71.55,-432.16,438.05
21,l24,850,816,3,48.12,1842.46,223.62,1855.98
21,l25,852R,832,3,31.56,1475.44,103.06,1479.04
21,l26,854,856,1,0.24,2.0,-2.8,3.44
21,l27,854,852,3,34.0,1520.38,101.35,1523.76
21,l28,858,864,1,0.07,1.0,0.21,1.02
21,l29,858,834,3,20.63,989.89,-159.65,1002.69
21,l30,860,836,3,2.8,138.59,74.33,157.26
21,l31,862,838,1,1.03,14.0,6.11,15.28
21,l32,888,890,3,69.97,450.02,232.78,506.66
22,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
22,l1,800,802,3,51.8,2047.06,283.26,2066.56
22,l2,802,806,3,51.82,2016.07,268.2,2033.83
22,l3,806,808,3,51.83,1986.29,253.37,2002.39
22,l4,808,810,1,0.6,8.24,3.22,8.85
22,l5,808,812,3,52.0,1928.33,239.81,1943.18
22,l6,812,814,3,52.19,1880.65,231.77,1894.88
22,l7,814R,850,3,48.12,1842.48,223.62,1856.0
22,l8,816,818,1,12.91,173.93,78.78,190.94
22,l9,816,824,3,35.61,1665.45,143.78,1671.64
22,l10,818,820,1,11.56,155.83,70.02,170.84
22,l11,820,822,1,5.21,67.7,32.82,75.24
22,l12,824,826,1,1.54,20.21,9.59,22.37
22,l13,824,828,3,35.65,1606.34,122.3,1610.99
22,l14,828,830,3,35.4,1599.74,119.85,1604.23
22,l15,830,854,3,34.0,1525.02,99.51,1528.26
22,l16,832,858,3,21.06,1013.07,-151.64,1024.35
22,l17,834,860,3,8.46,318.2,181.63,366.39
22,l18,834,842,3,14.91,574.33,-386.09,692.04
22,l19,836,840,3,1.12,48.79,31.53,58.09
22,l20,836,862,3,0.01,28.0,12.9,30.83
22,l21,842,844,3,14.78,569.76,-388.42,689.56
22,l22,844,846,3,9.97,105.88,-417.73,430.94
22,l23,846,848,3,9.9,71.55,-432.16,438.05
22,l24,850,816,3,48.12,1842.46,223.62,1855.98
22,l25,852R,832,3,31.56,1475.44,103.06,1479.04
22,l26,854,856,1,0.24,2.0,-2.8,3.44
22,l27,854,852,3,34.0,1520.38,101.35,1523.76
22,l28,858,864,1,0.07,1.0,0.21,1.02
22,l29,858,834,3,20.63,989.89,-159.65,1002.69
22,l30,860,836,3,2.8,138.59,74.33,157.26
22,l31,862,838,1,1.03,14.0,6.11,15.28
22,l32,888,890,3,69.97,450.02,232.78,506.66
23,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
23,l1,800,802,3,51.8,2047.06,283.26,2066.56
23,l2,802,806,3,51.82,2016.07,268.2,2033.83
23,l3,806,808,3,51.83,1986.29,253.37,2002.39
23,l4,808,810,1,0.6,8.24,3.22,8.85
23,l5,808,812,3,52.0,1928.33,239.81,1943.18
23,l6,812,814,3,52.19,1880.65,231.77,1894.88
23,l7,814R,850,3,48.12,1842.48,223.62,1856.0
23,l8,816,818,1,12.91,173.93,78.78,190.94
23,l9,816,824,3,35.61,1665.45,143.78,1671.64
23,l10,818,820,1,11.56,155.83,70.02,170.84
23,l11,820,822,1,5.21,67.7,32.82,75.24
23,l12,824,826,1,1.54,20.21,9.59,22.37
23,l13,824,828,3,35.65,1606.34,122.3,1610.99
23,l14,828,830,3,35.4,1599.74,119.85,1604.23
23,l15,830,854,3,34.0,1525.02,99.51,1528.26
23,l16,832,858,3,21.06,1013.07,-151.64,1024.35
23,l17,834,860,3,8.46,318.2,181.63,366.39
23,l18,834,842,3,14.91,574.33,-386.09,692.04
23,l19,836,840,3,1.12,48.79,31.53,58.09
23,l20,836,862,3,0.01,28.0,12.9,30.83
23,l21,842,844,3,14.78,569.76,-388.42,689.56
23,l22,844,846,3,9.97,105.88,-417.73,430.94
23,l23,846,848,3,9.9,71.55,-432.16,438.05
23,l24,850,816,3,48.12,1842.46,223.62,1855.98
23,l25,852R,832,3,31.56,1475.44,103.06,1479.04
23,l26,854,856,1,0.24,2.0,-2.8,3.44
23,l27,854,852,3,34.0,1520.38,101.35,1523.76
23,l28,858,864,1,0.07,1.0,0.21,1.02
23,l29,858,834,3,20.63,989.89,-159.65,1002.69
23,l30,860,836,3,2.8,138.59,74.33,157.26
23,l31,862,838,1,1.03,14.0,6.11,15.28
23,l32,888,890,3,69.97,450.02,232.78,506.66
24,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
24,l1,800,802,3,51.8,2047.06,283.26,2066.56
24,l2,802,806,3,51.82,2016.07,268.2,2033.83
24,l3,806,808,3,51.83,1986.29,253.37,2002.39
24,l4,808,810,1,0.6,8.24,3.22,8.85
24,l5,808,812,3,52.0,1928.33,239.81,1943.18
24,l6,812,814,3,52.19,1880.65,231.77,1894.88
24,l7,814R,850,3,48.12,1842.48,223.62,1856.0
24,l8,816,818,1,12.91,173.93,78.78,190.94
24,l9,816,824,3,35.61,1665.45,143.78,1671.64
24,l10,818,820,1,11.56,155.83,70.02,170.84
24,l11,820,822,1,5.21,67.7,32.82,75.24
24,l12,824,826,1,1.54,20.21,9.59,22.37
24,l13,824,828,3,35.65,1606.34,122.3,1610.99
24,l14,828,830,3,35.4,1599.74,119.85,1604.23
24,l15,830,854,3,34.0,1525.02,99.51,1528.26
24,l16,832,858,3,21.06,1013.07,-151.64,1024.35
24,l17,834,860,3,8.46,318.2,181.63,366.39
24,l18,834,842,3,14.91,574.33,-386.09,692.04
24,l19,836,840,3,1.12,48.79,31.53,58.09
24,l20,836,862,3,0.01,28.0,12.9,30.83
24,l21,842,844,3,14.78,569.76,-388.42,689.56
24,l22,844,846,3,9.97,105.88,-417.73,430.94
24,l23,846,848,3,9.9,71.55,-432.16,438.05
24,l24,850,816,3,48.12,1842.46,223.62,1855.98
24,l25,852R,832,3,31.56,1475.44,103.06,1479.04
24,l26,854,856,1,0.24,2.0,-2.8,3.44
24,l27,854,852,3,34.0,1520.38,101.35,1523.76
24,l28,858,864,1,0.07,1.0,0.21,1.02
24,l29,858,834,3,20.63,989.89,-159.65,1002.69
24,l30,860,836,3,2.8,138.59,74.33,157.26
24,l31,862,838,1,1.03,14.0,6.11,15.28
24,l32,888,890,3,69.97,450.02,232.78,506.66
